Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
car_body,0.0277036815852469,-0.00448633462860135,-0.0849680860031838,0,0,0,0.588422576644468,0.000886956202886545,-8.76238916355358E-17,-1.19296623982282E-05,0.00140658012044969,4.01026179745227E-18,0.0021437105823274,0,0,0,0,0,0,package://huina/meshes/car_body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://huina/meshes/car_body.STL,,car_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base,-0.0516578618406733,0.00730392376929956,-0.0106979824392101,0,0,0,1.96019666506883,0.00456681352935427,-0.00106904041983792,-0.000329653626868119,0.00854946117492935,-0.00046062303413282,0.0109134582035535,0,0,0,0,0,0,package://huina/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://huina/meshes/base.STL,,base-1,Origin_base,Axis_base,base,revolute,0.03319766986659,-0.00448633462860348,0,0,0,-0.0437181825672099,car_body,0,0,1,0,0,0,0,,,,,,,,
boom,0.120439212469446,-0.0065000000000165,0.063340673199285,0,0,0,0.346577116035154,0.000324111767708899,2.98306369298125E-16,-0.000595793208342359,0.00229961062751601,8.44322441823087E-17,0.00203231488392336,0,0,0,0,0,0,package://huina/meshes/boom.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://huina/meshes/boom.STL,,boom-1,Origin_boom,Axis_boom,boom,revolute,0.0130627142341879,0,0.00372992616434019,0,-0.361002570672547,0,base,0,1,0,0,0,0,0,,,,,,,,
stick,0.0112597216830215,-0.00749999999999149,-0.0452657830637142,0,0,0,0.185038629256696,0.000508600419330306,4.79251241556483E-18,-5.53041462385249E-05,0.000522620275006081,5.43386458740211E-17,3.99311814760734E-05,0,0,0,0,0,0,package://huina/meshes/stick.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://huina/meshes/stick.STL,,stick-1,Origin_stick,Axis_stick,stick,revolute,0.287517822311501,0,0.0832232265493627,0,-0.261894013736616,0,boom,0,1,0,0,0,0,0,,,,,,,,
bucket,0.0506872800188194,-0.00749996910372607,-0.0103385762594749,0,0,0,0.0377327080940099,6.52836855504669E-05,6.81676753113585E-11,8.46358419802204E-06,4.44464378991745E-05,1.0024609402386E-10,5.17421678228667E-05,0,0,0,0,0,0,package://huina/meshes/bucket.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://huina/meshes/bucket.STL,,bucket-1,Origin_bucket,Axis_bucket,bucket,revolute,-0.00100000000000006,0,-0.1545,0,0.820840910158624,0,stick,0,1,0,0,0,0,0,,,,,,,,
eef,-3.46944695195361E-18,-5.55111512312578E-17,4.99999999999667E-05,0,0,0,9.99999999999929E-10,1.66666666666617E-18,-9.44066784614318E-32,-8.63990228645343E-32,1.6666666666665E-18,-2.45932226101636E-33,1.66666666666634E-18,0,0,0,0,0,0,package://huina/meshes/eef.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://huina/meshes/eef.STL,,Part2^AutoRecover Of huina-1,Origin_eef,Axis_eef,eef,fixed,0.0546901069661451,-0.00750000000001709,-0.0753462722079562,2.78393523034263,0,-1.57079632679534,bucket,0,0,0,,,,,,,,,,,,
left_rear,1.38777878078145E-17,0.0101730561555077,8.32667268468867E-17,0,0,0,0.0349093775666898,6.96072266110404E-06,-1.11134583990572E-38,9.90352161931369E-38,1.15634085203208E-05,3.1122916146822E-20,6.96072266110405E-06,0,0,0,0,0,0,package://huina/meshes/left_rear.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://huina/meshes/left_rear.STL,,final_drive_left-1,Origin_left_rear2,Axis_left_rear2,left_rear,continuous,-0.0803023301334109,0.0540136653713965,-0.0892049098984649,0,0,0,car_body,0,1,0,,,,,,,,,,,,
left_1,0,0.0108732532809099,6.93889390390723E-17,0,0,0,0.0739098941665168,2.87221330625165E-05,2.06629866355479E-37,2.2160398176307E-37,5.15828136163184E-05,1.56515664075405E-19,2.87221330625165E-05,0,0,0,0,0,0,package://huina/meshes/left_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://huina/meshes/left_1.STL,,track_wheel_left-1,Origin_left_12,Axis_left_12,left_1,continuous,-0.00555233013341085,0.0540136653713964,-0.0892049098984649,0,0,0,car_body,0,1,0,,,,,,,,,,,,
left_2,0,0.0108732532809099,6.93889390390723E-17,0,0,0,0.0739098941665168,2.87221330625165E-05,-9.05473700315616E-39,2.473064231122E-37,5.15828136163184E-05,1.56515664075404E-19,2.87221330625165E-05,0,0,0,0,0,0,package://huina/meshes/left_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://huina/meshes/left_2.STL,,track_wheel_left-2,Origin_left_22,Axis_left_22,left_2,continuous,0.0744476698665892,0.0540136653713964,-0.0892049098984649,0,0,0,car_body,0,1,0,,,,,,,,,,,,
left_3,-2.77555756156289E-17,0.0101730561555077,8.32667268468867E-17,0,0,0,0.0349093775666898,6.96072266110404E-06,-1.11134583990572E-38,9.90352161931369E-38,1.15634085203208E-05,3.1122916146822E-20,6.96072266110405E-06,0,0,0,0,0,0,package://huina/meshes/left_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://huina/meshes/left_3.STL,,final_drive_left-2,Origin_left_32,Axis_left_32,left_3,continuous,0.149197669866589,0.0540136653713965,-0.0892049098984649,0,0,0,car_body,0,1,0,,,,,,,,,,,,
right_rear,1.38777878078145E-17,-0.0101730561555075,1.38777878078145E-17,0,0,0,0.0349093775666898,6.96072266110407E-06,1.11134583990565E-38,-9.90352161931368E-38,1.15634085203208E-05,-8.14632703297257E-22,6.96072266110408E-06,0,0,0,0,0,0,package://huina/meshes/right_rear.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://huina/meshes/right_rear.STL,,final_drive-5,Origin_right_rear2,Axis_right_rear2,right_rear,continuous,-0.0803023301334108,-0.0629863346286033,-0.0892049098984649,0,0,0,car_body,0,1,0,,,,,,,,,,,,
right_1,0,-0.0108732532809096,0,0,0,0,0.0739098941665168,2.87221330625165E-05,9.05473700315438E-39,-2.473064231122E-37,5.15828136163183E-05,-1.49101536388842E-21,2.87221330625165E-05,0,0,0,0,0,0,package://huina/meshes/right_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://huina/meshes/right_1.STL,,track_wheel-5,Origin_right_12,Axis_right_12,right_1,continuous,-0.00555233013341085,-0.0629863346286033,-0.0892049098984649,0,0,0,car_body,0,1,0,,,,,,,,,,,,
right_2,0,-0.010873,0,0,0,0,0.07391,2.8722E-05,-3.5761E-21,1.6941E-21,5.1583E-05,-1.9395E-21,2.8722E-05,0,0,0,0,0,0,package://huina/meshes/right_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://huina/meshes/right_2.STL,,track_wheel-6,Origin_right_22,Axis_right_22,right_2,continuous,0.0744476698665892,-0.0629863346286033,-0.0892049098984649,-3.14159265358979,-1.02948924380112,3.14159265358979,car_body,0,1,0,,,,,,,,,,,,
right_3,-2.7756E-17,-0.010173,1.3878E-17,0,0,0,0.034909,6.9607E-06,-1.4108E-24,5.294E-23,1.1563E-05,-1.353E-21,6.9607E-06,0,0,0,0,0,0,package://huina/meshes/right_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://huina/meshes/right_3.STL,,final_drive-7,Origin_right_32,Axis_right_32,right_3,continuous,0.1492,-0.062986,-0.089205,0,0.043635,0,car_body,0,1,0,,,,,,,,,,,,
